company_name,job_title,detail_url,employment_type,recruitment_count,location,job_field,description,career_level,education_level,skills,responsibilities,created_at
㈜다우기술,㈜다우기술 경력ㆍ신입 대규모 인재 영입,https://www.jobkorea.co.kr/Recruit/GI_Read/46778313?rPageCode=SL&logpath=21&sn=6&sc=612,정규직인턴,,"경기도 성남시 수정구,서울시 마포구,영등포구,양천구지도",홈페이지 지원,,미리보기,홈페이지 지원2일 전 등록~04/21(월),"API, SQL, Unix, CDC, DBMS, DL, UI, UX, WMS, RAG",,2025-04-13 12:19:35
코오롱인더스트리㈜,2025년 코오롱인더스트리 경력사원 상반기 공개채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46769814?rPageCode=SL&logpath=21&sn=6&sc=612,정규직,,"서울시 강서구,울산 남구,동구,중구,북구,울주군,충남 천안시 동남구,천안시 서북구,서산시,경북 구미시,김천시지도",홈페이지 지원,,미리보기,홈페이지 지원3일 전 등록~04/22(화),"AWS, Azure, GCP, GraphQL, Node.js, Python, CAD, Excel, PowerPoint, SAP, 영어, 영어회화, 2종보통운전면허, 대기환경기사 자격, 산업안전산업기사 자격, 산업위생관리기사 자격, 수질환경기사 자격, 위험물산업기사 자격, Restful API",,2025-04-13 12:19:39
㈜KT DS,[kt ds] 2025년 부문별 경력사원 상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46772231?rPageCode=SL&logpath=21&sn=6&sc=612,정규직수습3개월,,서울시 서초구지도,홈페이지 지원,,미리보기,홈페이지 지원3일 전 등록~04/18(금),"Apache, AWS, JAVA, Jira, Kafka, Oracle, Python, RDBMS, React, Redis, Spring Boot, SVN, Tibero, Tomcat, Vue.js, Linux, Confluence, DBMS, GitLab, RAG",,2025-04-13 12:19:42
㈜아트매틱컴퍼니,[아트매틱 컴퍼니] 음원 서비스 웹(APP) 기획/개발 PM채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46768464?rPageCode=SL&logpath=21&sn=6&sc=611,"계약직근무기간 6개월
                                정규직 전환가능",1.0,"서울시 성동구,동대문구,광진구,중구,용산구,강남구,서초구,송파구,동작구,영등포구지도","웹/APP 기획, 개발 PM",,미리보기,즉시지원4일 전 등록~05/09(금),"Jira, Confluence, Figma, UI",,2025-04-13 12:19:46
에이치엠케이홀딩스㈜,HMK홀딩스㈜ 부문별 대규모 인재 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46775000?rPageCode=SL&logpath=21&sn=6&sc=611,정규직프리랜서,,서울시 강남구지도,"온라인 마케팅 본부_본부장,온라인마케팅팀_팀장,온라인마케팅팀_사원,언론홍보팀_팀장,언론홍보팀_사원,웹기획팀_팀장,웹기획팀_팀원,웹디자인 기획팀_팀장,웹디자인 기획팀_사원,IT 본부_본부장,경공매 솔루션팀_팀장,경공매 솔루션팀_사원,전략기획실_실장,전략기획실_본부장,전략기획실_팀장,전략기획실_사원,CEO/COO,헤드헌터,경영지원본부_본부장,경영지원본부장,재무회게팀_팀장,재무회게팀_사원,속기사_사원,자산운영사_사원",,미리보기,즉시지원2일 전 등록상시채용,"CSS, HTML, Javascript, Figma, Sketch, UI, UX, 더존 프로그램",,2025-04-13 12:19:50
㈜제이투디비,JAVA 개발 및 SPRING 프레임워크 경력자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46788631?rPageCode=SL&logpath=21&sn=6&sc=611,정규직수습3개월,1.0,경기도 성남시 수정구지도,JAVA 개발자,,미리보기,즉시지원16시간 전 등록~06/11(수),"JAVA, MariaDB, OracleDB, PostgreSQL, Spring, Spring Boot, Linux, 전자정부표준프레임워크",,2025-04-13 12:19:55
한국타이어앤테크놀로지(주),IT 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46786740?rPageCode=SL&logpath=21&sn=6&sc=612,정규직,,경기도 성남시 분당구지도,홈페이지 지원,,미리보기,홈페이지 지원1일 전 등록~04/30(수),"Azure, JAVA, Linux, SAP, GUI, UX, WMS",,2025-04-13 12:19:58
㈜웹젠,2025 상반기 WEBZEN 채용연계형 인턴 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/46778487?rPageCode=SL&logpath=21&sn=6&sc=612,"인턴근무기간 6개월
                                정규직 전환가능",,경기도 성남시 분당구지도,홈페이지 지원,,미리보기,홈페이지 지원2일 전 등록~04/28(월),,,2025-04-13 12:20:02
유니닥스㈜,유니닥스㈜ AI개발자 장애인채용 전형,https://www.jobkorea.co.kr/Recruit/GI_Read/46783529?rPageCode=SL&logpath=21&sn=6&sc=611,정규직수습3개월,,서울시 구로구지도,AI개발자,,미리보기,즉시지원1일 전 등록~04/25(금),Python,,2025-04-13 12:20:06
㈜신안정보통신,"응용프로그래머(C, C++,C#) 경력 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/46782064?rPageCode=SL&logpath=21&sn=6&sc=611,정규직,,서울시 서초구지도,"응용프로그래머(C, C++,C#) 경력",,미리보기,즉시지원2일 전 등록~04/27(일),"C, C#, C++, MFC, MSSQL",,2025-04-13 12:20:10
㈜신지모루,[경력] 전산개발 담당자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46782740?rPageCode=SL&logpath=21&sn=6&sc=611,정규직수습6개월,1.0,서울시 마포구지도,전산개발 담당자,,미리보기,즉시지원2일 전 등록~05/11(일),"MSSQL, Oracle, PostgreSQL, Python, React, ERP, WMS, DevExpress, WCS",,2025-04-13 12:20:15
